arquivo,linha,test_id,issue_text,more_info
"./backend/app_dashboard.py",38,"B608","Possible SQL injection vector through string-based query construction.","https://bandit.readthedocs.io/en/1.8.6/plugins/b608_hardcoded_sql_expressions.html"
"./backend/carregador_dados_historicos.py",608,"B301","Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.","https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b301-pickle"
"./backend/dashboard_web.py",275,"B608","Possible SQL injection vector through string-based query construction.","https://bandit.readthedocs.io/en/1.8.6/plugins/b608_hardcoded_sql_expressions.html"
"./backend/framework_assimetrico/__init__.py",155,"B102","Use of exec detected.","https://bandit.readthedocs.io/en/1.8.6/plugins/b102_exec_used.html"
"./backend/framework_assimetrico/__init__.py",156,"B102","Use of exec detected.","https://bandit.readthedocs.io/en/1.8.6/plugins/b102_exec_used.html"
"./backend/main.py",45,"B104","Possible binding to all interfaces.","https://bandit.readthedocs.io/en/1.8.6/plugins/b104_hardcoded_bind_all_interfaces.html"
"./backend/otimizacao_persistencia.py",344,"B608","Possible SQL injection vector through string-based query construction.","https://bandit.readthedocs.io/en/1.8.6/plugins/b608_hardcoded_sql_expressions.html"
"./backend/sistema_alertas_avancado.py",686,"B608","Possible SQL injection vector through string-based query construction.","https://bandit.readthedocs.io/en/1.8.6/plugins/b608_hardcoded_sql_expressions.html"
"./backend/sistema_alertas_avancado.py",704,"B608","Possible SQL injection vector through string-based query construction.","https://bandit.readthedocs.io/en/1.8.6/plugins/b608_hardcoded_sql_expressions.html"
"./backend/teste_api_persistencia.py",22,"B113","Call to requests without timeout","https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html"
"./backend/teste_api_persistencia.py",31,"B113","Call to requests without timeout","https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html"
"./backend/teste_api_persistencia.py",86,"B113","Call to requests without timeout","https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html"
"./backend/teste_api_persistencia.py",101,"B113","Call to requests without timeout","https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html"
"./backend/teste_api_persistencia.py",115,"B113","Call to requests without timeout","https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html"
"./backend/teste_api_persistencia.py",124,"B113","Call to requests without timeout","https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html"
"./backend/teste_api_persistencia.py",134,"B113","Call to requests without timeout","https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html"
"./backend/teste_api_persistencia.py",158,"B113","Call to requests without timeout","https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html"
"./scripts/collect_metrics/github_metrics.py",40,"B113","Call to requests without timeout","https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html"
"./scripts/mask_sqlite.py",44,"B608","Possible SQL injection vector through string-based query construction.","https://bandit.readthedocs.io/en/1.8.6/plugins/b608_hardcoded_sql_expressions.html"
"./scripts/mask_sqlite.py",58,"B608","Possible SQL injection vector through string-based query construction.","https://bandit.readthedocs.io/en/1.8.6/plugins/b608_hardcoded_sql_expressions.html"
